datetime,open,high,low,close
2025-12-04,8.22833,8.23273,8.13648,8.2221
2025-12-05,8.22203,8.48205,8.18116,8.21823
2025-12-06,8.21775,8.2256,8.21737,8.21819
2025-12-08,8.23012,8.23252,8.18347,8.19143
2025-12-09,8.19134,8.2452,8.10487,8.1851
2025-12-10,8.18506,8.26266,8.09865,8.1816
2025-12-11,8.18159,8.23461,8.09902,8.17539
2025-12-12,8.17538,8.21408,8.135,8.16125
2025-12-13,8.16125,8.16994,8.15982,8.16075
2025-12-15,8.17626,8.17651,8.06442,8.15888
2025-12-16,8.1589,8.15986,8.07648,8.15778
2025-12-17,8.15782,8.16204,8.07874,8.1542
2025-12-18,8.15427,8.15695,8.06329,8.14719
2025-12-19,8.1473,8.15259,8.0664,8.15098
2025-12-20,8.15101,8.15242,8.1487,8.15189
2025-12-22,8.05864,8.15957,8.0583,8.15568
2025-12-23,8.15574,8.23701,8.06241,8.14899
2025-12-24,8.14915,8.1509,8.0644,8.14162
2025-12-25,8.13811,8.13913,8.1372,8.13732
2025-12-26,8.13738,8.13947,8.13636,8.1372
2025-12-27,8.13729,8.1389,8.1368,8.13757
2025-12-29,8.1376,8.14607,8.03413,8.13425
2025-12-30,8.13429,8.20416,8.04852,8.13729
2025-12-31,8.13745,8.14388,8.09473,8.13733
2026-01-01,8.13586,8.13624,8.13099,8.13499
2026-01-02,8.13503,8.14666,8.06345,8.13539
2026-01-03,8.13539,8.14208,8.13328,8.13892
2026-01-05,8.14363,8.14728,8.04495,8.14136
2026-01-06,8.14217,8.21999,8.08477,8.13872
2026-01-07,8.13839,8.23447,8.06107,8.13309
2026-01-08,8.13325,8.25867,8.06621,8.13533
2026-01-09,8.13494,8.14003,8.09598,8.13902
2026-01-10,8.13893,8.14294,8.13052,8.13066
2026-01-11,8.13063,8.13099,8.13051,8.13067
2026-01-12,8.13063,8.13928,8.03578,8.13245
2026-01-13,8.13254,8.13619,8.05299,8.13525
2026-01-14,8.13517,8.14283,8.06357,8.14242
2026-01-15,8.14231,8.15913,8.07404,8.14873
2026-01-16,8.14867,8.14977,8.0662,8.1428
2026-01-17,8.14288,8.14987,8.12376,8.12412
2026-01-18,8.12402,8.12437,8.1239,8.12413
2026-01-19,8.12402,8.14915,8.04822,8.14433
2026-01-20,8.14421,8.1455,8.06308,8.14237
2026-01-21,8.14224,8.14242,8.04627,8.1311
2026-01-22,8.13095,8.13259,8.05844,8.12805
2026-01-23,8.12789,8.12933,8.04231,8.12453
2026-01-24,8.12439,8.12612,8.1235,8.12454
2026-01-25,8.12438,8.12474,8.12427,8.12455
2026-01-26,8.12438,8.12474,8.0078,8.09527
2026-01-27,8.09512,8.09559,8.00055,8.05114
2026-01-28,8.05064,8.07563,7.9932,8.06004
2026-01-29,8.05984,8.40121,7.98844,8.16056
2026-01-30,8.16206,8.18995,8.01703,8.0372
2026-01-31,8.0371,8.05186,8.0349,8.05169
2026-02-01,8.05151,8.05186,8.0514,8.05169
2026-02-02,8.05151,8.0548,7.9548,8.04363
2026-02-03,8.04275,8.05672,7.98582,8.05324
2026-02-04,8.05307,8.05906,7.97544,8.05305
2026-02-05,8.05292,8.06124,7.979,8.02735
2026-02-06,8.02664,8.06356,7.98368,8.05368
2026-02-07,8.05356,8.05598,8.05171,8.05268
2026-02-08,8.05251,8.05287,8.05241,8.05267
2026-02-09,8.05251,8.06033,7.96063,8.05726
2026-02-10,8.05712,8.05901,7.97051,8.04367
2026-02-11,8.04374,8.05355,7.96259,8.01258
2026-02-12,8.01181,8.04129,7.95648,8.03188
2026-02-13,8.03189,8.03808,7.9543,8.02996
2026-02-14,8.02975,8.04382,8.02902,8.04358
2026-02-15,8.04347,8.04382,8.04336,8.04357
2026-02-16,8.04347,8.04382,7.9377,8.03354
2026-02-17,8.03349,8.04597,7.96457,8.04055
2026-02-18,8.04043,8.04711,8.01312,8.01319
2026-02-19,8.01287,8.04786,7.96556,8.04307
2026-02-20,8.04297,8.04992,7.9704,8.04568
2026-02-21,8.04558,8.04783,8.04515,8.04552
2026-02-22,8.04548,8.04583,8.04537,8.04551
2026-02-23,8.04548,8.04988,7.95403,8.01736
2026-02-24,8.01652,8.04779,7.97065,8.04313
2026-02-25,8.0431,8.0616,7.98093,8.04976
2026-02-26,8.04975,8.05143,7.97676,8.04369
2026-02-27,8.04369,8.05069,8.00462,8.04002
2026-02-28,8.04003,8.04543,8.03839,8.04506
2026-03-01,8.04508,8.04543,8.04497,8.04505
2026-03-02,8.04508,8.04985,7.94645,8.04579
2026-03-03,8.04584,8.05153,7.97272,8.02321
2026-03-04,8.02343,8.0527,7.96196,8.04971
2026-03-05,8.04976,8.05882,7.98302,8.05387
2026-03-06,8.05403,8.05775,7.98628,8.05602
2026-03-07,8.05607,8.05718,8.04544,8.0455
2026-03-08,8.04555,8.04871,7.96611,7.96748
2026-03-09,7.96737,8.06427,7.95718,8.06165
2026-03-10,8.06175,8.06457,7.97722,8.04971
2026-03-11,8.04978,8.05121,7.97431,8.02198
2026-03-12,8.02221,8.04762,7.97244,8.04335
