datetime,open,high,low,close
2025-02-10,4.39283,4.40224,4.38136,4.38957
2025-02-11,4.38925,4.39855,4.37783,4.38253
2025-02-12,4.38237,4.39793,4.37182,4.37888
2025-02-13,4.37888,4.38536,4.35096,4.35700
2025-02-14,4.35684,4.35754,4.33927,4.34415
2025-02-15,4.34479,4.34662,4.34386,4.34532
2025-02-17,4.34549,4.34976,4.33495,4.33689
2025-02-18,4.33673,4.35661,4.33527,4.34780
2025-02-19,4.34812,4.35261,4.34197,4.34845
2025-02-20,4.34828,4.34942,4.31961,4.32026
2025-02-21,4.32058,4.33474,4.31994,4.33290
2025-02-22,4.33274,4.33323,4.32804,4.32993
2025-02-24,4.33696,4.34014,4.31260,4.33906
2025-02-25,4.33922,4.34587,4.33187,4.33506
2025-02-26,4.33523,4.34230,4.33052,4.33863
2025-02-27,4.33896,4.36900,4.33733,4.36702
2025-02-28,4.36735,4.38108,4.36448,4.37917
2025-03-01,4.37917,4.37966,4.37613,4.37852
2025-03-03,4.37994,4.37994,4.35272,4.36115
2025-03-04,4.36196,4.36726,4.34251,4.34251
2025-03-05,4.34187,4.34500,4.31043,4.31060
2025-03-06,4.31043,4.32771,4.30930,4.32219
2025-03-07,4.32252,4.32803,4.31076,4.31954
2025-03-08,4.31954,4.32197,4.31710,4.32051
2025-03-10,4.31840,4.33171,4.31029,4.32879
2025-03-11,4.32879,4.50558,4.31451,4.31743
2025-03-12,4.31775,4.33268,4.31613,4.32489
2025-03-13,4.32522,4.34047,4.32230,4.33625
2025-03-14,4.33625,4.33890,4.32782,4.32782
2025-03-15,4.32765,4.33025,4.32733,4.33009
2025-03-17,4.32928,4.33247,4.31301,4.31688
2025-03-18,4.31656,4.32955,4.31623,4.32088
2025-03-19,4.32072,4.33247,4.31916,4.32110
2025-03-20,4.32110,4.34286,4.31617,4.33377
2025-03-21,4.33360,4.33853,4.32717,4.33658
2025-03-22,4.33658,4.33804,4.33593,4.33728
2025-03-24,4.33723,4.34685,4.33171,4.34220
2025-03-25,4.34236,4.34544,4.32879,4.33409
2025-03-26,4.33377,4.34890,4.33214,4.34728
2025-03-27,4.34760,4.34987,4.33809,4.34544
2025-03-28,4.34577,4.35473,4.34339,4.35302
2025-03-29,4.35302,4.35675,4.35302,4.35448
2025-03-31,4.35578,4.36263,4.34426,4.35744
2025-04-01,4.35809,4.36231,4.35144,4.35992
2025-04-02,4.35944,4.36231,4.35052,4.35582
2025-04-03,4.35582,4.38043,4.32813,4.34384
2025-04-04,4.34384,4.37930,4.32721,4.37573
2025-04-05,4.37573,4.37947,4.36826,4.37752
2025-04-07,4.37378,4.39548,4.36712,4.39221
2025-04-08,4.39221,4.40078,4.37512,4.39769
2025-04-09,4.39688,4.40078,4.34617,4.35770
2025-04-10,4.35721,4.36810,4.32552,4.32975
2025-04-11,4.33024,4.33801,4.29299,4.29889
