datetime,open,high,low,close
1991-11-05,3.63900,3.64050,3.63900,3.64050
1991-11-06,3.63900,3.64050,3.63900,3.64050
1991-11-07,3.63900,3.64050,3.63900,3.64050
1991-11-08,3.63900,3.64050,3.63900,3.64050
1991-11-11,3.63900,3.64050,3.63900,3.64050
1991-11-12,3.63900,3.64050,3.63900,3.64050
1991-11-13,3.63900,3.64050,3.63900,3.64050
1991-11-14,3.63900,3.64050,3.63900,3.64050
1991-11-15,3.63900,3.64050,3.63900,3.64050
1991-11-18,3.63900,3.64050,3.63900,3.64050
1991-11-19,3.63900,3.64050,3.63900,3.64050
1991-11-20,3.63900,3.64050,3.63900,3.64050
1991-11-21,3.63900,3.64050,3.63900,3.64050
1991-11-22,3.63900,3.64050,3.63900,3.64050
1991-11-25,3.63900,3.64050,3.63900,3.64050
1991-11-26,3.63900,3.64050,3.63900,3.64050
1991-11-27,3.63900,3.64050,3.63900,3.64050
1991-11-28,3.63900,3.64050,3.63900,3.64050
1991-11-29,3.63900,3.64050,3.63900,3.64050
1991-12-02,3.63900,3.64050,3.63900,3.64050
1991-12-03,3.63900,3.64050,3.63900,3.64050
1991-12-04,3.63900,3.64050,3.63900,3.64050
1991-12-05,3.63900,3.64050,3.63900,3.64050
1991-12-06,3.63900,3.64050,3.63900,3.64050
1991-12-09,3.63900,3.64050,3.63900,3.64050
1991-12-10,3.63900,3.64050,3.63900,3.64050
1991-12-11,3.63900,3.64050,3.63900,3.64050
1991-12-12,3.63900,3.64050,3.63900,3.64050
1991-12-13,3.63900,3.64050,3.63900,3.64050
1991-12-16,3.63900,3.64050,3.63900,3.64050
1991-12-17,3.63900,3.64050,3.63900,3.64050
1991-12-18,3.63900,3.64050,3.63900,3.64050
1991-12-19,3.63900,3.64050,3.63900,3.64050
1991-12-20,3.63900,3.64050,3.63900,3.64050
1991-12-23,3.63900,3.64050,3.63900,3.64050
1991-12-24,3.63900,3.64050,3.63900,3.64050
1991-12-25,3.63900,3.64050,3.63900,3.64050
1991-12-26,3.63900,3.64050,3.63900,3.64050
1991-12-27,3.63900,3.64050,3.63900,3.64050
1991-12-30,3.63900,3.64050,3.63900,3.64050
1991-12-31,3.63900,3.64050,3.63900,3.64050
1992-01-01,3.63900,3.64050,3.63900,3.64050
1992-01-02,3.63900,3.64050,3.63900,3.64050
1992-01-03,3.63900,3.64050,3.63900,3.64050
1992-01-06,3.63900,3.64050,3.63900,3.64050
1992-01-07,3.63900,3.64050,3.63900,3.64050
1992-01-08,3.63900,3.64050,3.63900,3.64050
1992-01-09,3.63900,3.64050,3.63900,3.64050
1992-01-10,3.63900,3.64050,3.63900,3.64050
1992-01-13,3.63900,3.64050,3.63900,3.64050
1992-01-14,3.63900,3.64050,3.63900,3.64050
1992-01-15,3.63900,3.64050,3.63900,3.64050
1992-01-16,3.63900,3.64050,3.63900,3.64050
1992-01-17,3.63900,3.64050,3.63900,3.64050
1992-01-20,3.63900,3.64050,3.63900,3.64050
1992-01-21,3.63900,3.64050,3.63900,3.64050
1992-01-22,3.63900,3.64050,3.63900,3.64050
1992-01-23,3.63900,3.64050,3.63900,3.64050
1992-01-24,3.63900,3.64050,3.63900,3.64050
1992-01-27,3.63900,3.64050,3.63900,3.64050
1992-01-28,3.63900,3.64050,3.63900,3.64050
1992-01-29,3.63900,3.64050,3.63900,3.64050
1992-01-30,3.63900,3.64050,3.63900,3.64050
1992-01-31,3.63900,3.64050,3.63900,3.64050
1992-02-03,3.63900,3.64050,3.63900,3.64050
1992-02-04,3.63900,3.64050,3.63900,3.64050
1992-02-05,3.63900,3.64050,3.63900,3.64050
1992-02-06,3.63900,3.64050,3.63900,3.64050
1992-02-07,3.63900,3.64050,3.63900,3.64050
1992-02-10,3.63900,3.64050,3.63900,3.64050
1992-02-11,3.63900,3.64050,3.63900,3.64050
1992-02-12,3.63900,3.64050,3.63900,3.64050
1992-02-13,3.63900,3.64050,3.63900,3.64050
1992-02-14,3.63900,3.64050,3.63900,3.64050
1992-02-17,3.63900,3.64050,3.63900,3.64050
1992-02-18,3.63900,3.64050,3.63900,3.64050
1992-02-19,3.63900,3.64050,3.63900,3.64050
1992-02-20,3.63900,3.64050,3.63900,3.64050
1992-02-21,3.63900,3.64050,3.63900,3.64050
1992-02-24,3.63900,3.64050,3.63900,3.64050
1992-02-25,3.63900,3.64050,3.63900,3.64050
1992-02-26,3.63900,3.64050,3.63900,3.64050
1992-02-27,3.63900,3.64050,3.63900,3.64050
1992-02-28,3.63900,3.64050,3.63900,3.64050
1992-03-02,3.63900,3.64050,3.63900,3.64050
1992-03-03,3.63900,3.64050,3.63900,3.64050
1992-03-04,3.63900,3.64050,3.63900,3.64050
1992-03-05,3.63900,3.64050,3.63900,3.64050
1992-03-06,3.63900,3.64050,3.63900,3.64050
1992-03-09,3.63900,3.64050,3.63900,3.64050
1992-03-10,3.63900,3.64050,3.63900,3.64050
1992-03-11,3.63900,3.64050,3.63900,3.64050
1992-03-12,3.63900,3.64050,3.63900,3.64050
1992-03-13,3.63900,3.64050,3.63900,3.64050
1992-03-16,3.63900,3.64050,3.63900,3.64050
1992-03-17,3.63900,3.64050,3.63900,3.64050
1992-03-18,3.63900,3.64050,3.63900,3.64050
1992-03-19,3.63900,3.64050,3.63900,3.64050
1992-03-20,3.63900,3.64050,3.63900,3.64050
1992-03-23,3.63900,3.64050,3.63900,3.64050
1992-03-24,3.63900,3.64050,3.63900,3.64050
1992-03-25,3.63900,3.64050,3.63900,3.64050
1992-03-26,3.63900,3.64050,3.63900,3.64050
1992-03-27,3.63900,3.64050,3.63900,3.64050
1992-03-30,3.63900,3.64050,3.63900,3.64050
1992-03-31,3.63900,3.64050,3.63900,3.64050
1992-04-01,3.63900,3.64050,3.63900,3.64050
1992-04-02,3.63900,3.64050,3.63900,3.64050
1992-04-03,3.63900,3.64050,3.63900,3.64050
1992-04-06,3.63900,3.64050,3.63900,3.64050
1992-04-07,3.63900,3.64050,3.63900,3.64050
1992-04-08,3.63900,3.64050,3.63900,3.64050
1992-04-09,3.63900,3.64050,3.63900,3.64050
1992-04-10,3.63900,3.64050,3.63900,3.64050
1992-04-13,3.63900,3.64050,3.63900,3.64050
1992-04-14,3.63900,3.64050,3.63900,3.64050
1992-04-15,3.63900,3.64050,3.63900,3.64050
1992-04-16,3.63900,3.64050,3.63900,3.64050
1992-04-17,3.63900,3.64050,3.63900,3.64050
1992-04-20,3.63900,3.64050,3.63900,3.64050
1992-04-21,3.63900,3.64050,3.63900,3.64050
1992-04-22,3.63900,3.64050,3.63900,3.64050
1992-04-23,3.63900,3.64050,3.63900,3.64050
1992-04-24,3.63900,3.64050,3.63900,3.64050
1992-04-27,3.63900,3.64050,3.63900,3.64050
1992-04-28,3.63900,3.64050,3.63900,3.64050
1992-04-29,3.63900,3.64050,3.63900,3.64050
1992-04-30,3.63900,3.64050,3.63900,3.64050
1992-05-01,3.63900,3.64050,3.63900,3.64050
1992-05-04,3.63900,3.64050,3.63900,3.64050
1992-05-05,3.63900,3.64050,3.63900,3.64050
1992-05-06,3.63900,3.64050,3.63900,3.64050
1992-05-07,3.63900,3.64050,3.63900,3.64050
1992-05-08,3.63900,3.64050,3.63900,3.64050
1992-05-11,3.63900,3.64050,3.63900,3.64050
1992-05-12,3.63900,3.64050,3.63900,3.64050
1992-05-13,3.63900,3.64050,3.63900,3.64050
1992-05-14,3.63900,3.64050,3.63900,3.64050
1992-05-15,3.63900,3.64050,3.63900,3.64050
1992-05-18,3.63800,3.64000,3.63800,3.64000
1992-05-19,3.63800,3.64000,3.63800,3.64000
1992-05-20,3.63800,3.64000,3.63800,3.64000
1992-05-21,3.63800,3.64000,3.63800,3.64000
1992-05-22,3.63800,3.64000,3.63800,3.64000
1992-05-25,3.63800,3.64000,3.63800,3.64000
1992-05-26,3.63800,3.64000,3.63800,3.64000
1992-05-27,3.63800,3.64000,3.63800,3.64000
1992-05-28,3.63800,3.64000,3.63800,3.64000
1992-05-29,3.63800,3.64000,3.63800,3.64000
1992-06-01,3.63800,3.64000,3.63800,3.64000
1992-06-02,3.63800,3.64000,3.63800,3.64000
1992-06-03,3.63800,3.64000,3.63800,3.64000
1992-06-04,3.63800,3.64000,3.63800,3.64000
1992-06-05,3.63800,3.64000,3.63800,3.64000
1992-06-08,3.63800,3.64000,3.63800,3.64000
1992-06-09,3.63800,3.64000,3.63800,3.64000
1992-06-10,3.63800,3.64000,3.63800,3.64000
1992-06-11,3.63800,3.64000,3.63800,3.64000
1992-06-12,3.63800,3.64000,3.63800,3.64000
1992-06-15,3.63800,3.64000,3.63800,3.64000
1992-06-16,3.63800,3.64000,3.63800,3.64000
1992-06-17,3.63800,3.64000,3.63800,3.64000
1992-06-18,3.63800,3.64000,3.63800,3.64000
1992-06-19,3.63800,3.64000,3.63800,3.64000
1992-06-22,3.63800,3.64000,3.63800,3.64000
1992-06-23,3.63800,3.64000,3.63800,3.64000
1992-06-24,3.63800,3.64000,3.63800,3.64000
1992-06-25,3.63800,3.64000,3.63800,3.64000
1992-06-26,3.63800,3.64000,3.63800,3.64000
1992-06-29,3.63800,3.64000,3.63800,3.64000
1992-06-30,3.63800,3.64000,3.63800,3.64000
1992-07-01,3.63800,3.64000,3.63800,3.64000
1992-07-02,3.63800,3.64000,3.63800,3.64000
1992-07-03,3.63800,3.64000,3.63800,3.64000
1992-07-06,3.63800,3.64000,3.63800,3.64000
1992-07-07,3.63800,3.64000,3.63800,3.64000
1992-07-08,3.63800,3.64000,3.63800,3.64000
1992-07-09,3.63800,3.64000,3.63800,3.64000
1992-07-10,3.63800,3.64000,3.63800,3.64000
1992-07-13,3.63800,3.64000,3.63800,3.64000
1992-07-14,3.63800,3.64000,3.63800,3.64000
1992-07-15,3.63800,3.64000,3.63800,3.64000
1992-07-16,3.63800,3.64000,3.63800,3.64000
1992-07-17,3.63800,3.64000,3.63800,3.64000
1992-07-20,3.63800,3.64000,3.63800,3.64000
1992-07-21,3.63800,3.64000,3.63800,3.64000
1992-07-22,3.63800,3.64000,3.63800,3.64000
1992-07-23,3.63800,3.64000,3.63800,3.64000
1992-07-24,3.63800,3.64000,3.63800,3.64000
1992-07-27,3.63800,3.64000,3.63800,3.64000
1992-07-28,3.63900,3.63950,3.63900,3.63950
1992-07-29,3.63900,3.63950,3.63900,3.63950
1992-07-30,3.63900,3.63950,3.63900,3.63950
1992-07-31,3.63900,3.63950,3.63900,3.63950
1992-08-03,3.63900,3.63950,3.63900,3.63950
1992-08-04,3.63900,3.63950,3.63900,3.63950
1992-08-05,3.63900,3.63950,3.63900,3.63950
1992-08-06,3.63900,3.63950,3.63900,3.63950
1992-08-07,3.63900,3.63950,3.63900,3.63950
1992-08-10,3.63900,3.63950,3.63900,3.63950
1992-08-11,3.63900,3.63950,3.63900,3.63950
1992-08-12,3.63900,3.63950,3.63900,3.63950
1992-08-13,3.63900,3.63950,3.63900,3.63950
1992-08-14,3.63900,3.63950,3.63900,3.63950
1992-08-17,3.63900,3.63950,3.63900,3.63950
1992-08-18,3.63900,3.63950,3.63900,3.63950
1992-08-19,3.63900,3.63950,3.63900,3.63950
1992-08-20,3.63900,3.63950,3.63900,3.63950
1992-08-21,3.63900,3.63950,3.63900,3.63950
1992-08-24,3.63900,3.63950,3.63900,3.63950
1992-08-25,3.63900,3.63950,3.63900,3.63950
1992-08-26,3.63900,3.63950,3.63900,3.63950
1992-08-27,3.63900,3.63950,3.63900,3.63950
1992-08-28,3.63900,3.63950,3.63900,3.63950
1992-08-31,3.63900,3.63950,3.63900,3.63950
1992-09-01,3.63900,3.63950,3.63900,3.63950
1992-09-02,3.63900,3.63950,3.63900,3.63950
1992-09-03,3.63900,3.63950,3.63900,3.63950
1992-09-04,3.63900,3.63950,3.63900,3.63950
1992-09-07,3.63900,3.63950,3.63900,3.63950
1992-09-08,3.63900,3.63950,3.63900,3.63950
1992-09-09,3.63900,3.63950,3.63900,3.63950
1992-09-10,3.63900,3.63950,3.63900,3.63950
1992-09-11,3.63900,3.63950,3.63900,3.63950
1992-09-14,3.63900,3.63950,3.63900,3.63950
1992-09-15,3.63900,3.63950,3.63900,3.63950
1992-09-16,3.63900,3.63950,3.63900,3.63950
1992-09-17,3.63900,3.63950,3.63900,3.63950
1992-09-18,3.63900,3.63950,3.63900,3.63950
1992-09-21,3.63900,3.63950,3.63900,3.63950
1992-09-22,3.63900,3.63950,3.63900,3.63950
1992-09-23,3.63900,3.63950,3.63900,3.63950
1992-09-24,3.63900,3.63950,3.63900,3.63950
1992-09-25,3.63900,3.63950,3.63900,3.63950
1992-09-28,3.63900,3.63950,3.63900,3.63950
1992-09-29,3.63900,3.63950,3.63900,3.63950
1992-09-30,3.63900,3.63950,3.63900,3.63950
1992-10-01,3.63900,3.63950,3.63900,3.63950
1992-10-02,3.63900,3.63950,3.63900,3.63950
1992-10-05,3.63900,3.63950,3.63900,3.63950
1992-10-06,3.63900,3.63950,3.63900,3.63950
1992-10-07,3.63900,3.63950,3.63900,3.63950
1992-10-08,3.63900,3.63950,3.63900,3.63950
1992-10-09,3.63900,3.63950,3.63900,3.63950
1992-10-12,3.63900,3.63950,3.63900,3.63950
1992-10-13,3.63900,3.63950,3.63900,3.63950
1992-10-14,3.63900,3.63950,3.63900,3.63950
1992-10-15,3.63900,3.63950,3.63900,3.63950
1992-10-16,3.63900,3.63950,3.63900,3.63950
1992-10-19,3.63900,3.64000,3.63900,3.64000
1992-10-20,3.63900,3.64000,3.63900,3.64000
1992-10-21,3.63900,3.64000,3.63900,3.64000
1992-10-22,3.63900,3.64000,3.63900,3.64000
1992-10-23,3.63900,3.64000,3.63900,3.64000
1992-10-26,3.63900,3.64000,3.63900,3.64000
1992-10-27,3.63900,3.64000,3.63900,3.64000
1992-10-28,3.63900,3.64000,3.63900,3.64000
1992-10-29,3.63900,3.64000,3.63900,3.64000
1992-10-30,3.63900,3.64000,3.63900,3.64000
1992-11-02,3.63900,3.64000,3.63900,3.64000
1992-11-03,3.63900,3.64000,3.63900,3.64000
1992-11-04,3.63900,3.64000,3.63900,3.64000
1992-11-05,3.63900,3.64000,3.63900,3.64000
1992-11-06,3.63900,3.64000,3.63900,3.64000
1992-11-09,3.63900,3.64000,3.63900,3.64000
1992-11-10,3.63900,3.64000,3.63900,3.64000
1992-11-11,3.63900,3.64000,3.63900,3.64000
